Code_du_champ,Valeur_prise
S10.G00.00.004,6
S10.G00.00.005,81
S10.G00.00.006,P09V04
S10.G00.00.007,32
S10.G00.00.008,51
S10.G00.01.001,8418486378
S10.G00.01.002,348406
S10.G00.01.003,FACTICE_Audit
S10.G00.01.004,"rue Émile Raymond
75551 Laine"
S10.G00.01.005,64151
S10.G00.01.006,Ville Fleurynec
S10.G00.02.001,80
S10.G00.02.002,FACTICE_AUDIT
S10.G00.02.004,Suzanne_Dumont-Delaunay@factice_audit.fr
S10.G00.02.005,0611980789
S20.G00.05.001,7
S20.G00.05.002,6
S20.G00.05.003,11
S20.G00.05.004,3
S20.G00.05.005,06-10-1973
S20.G00.05.007,24-12-1974
S20.G00.05.008,5
S20.G00.05.010,9
S21.G00.06.001,64925802
S21.G00.06.002,732
S21.G00.06.003,71000hLnWLSBICoWr
S21.G00.06.004,"280, avenue Louis Legros
70952 Le Goff-sur-Clement"
S21.G00.06.005,56045
S21.G00.06.006,Boucher-sur-Cousin
S21.G00.06.007,Zone boulevard Suzanne Vidal
S21.G00.06.009,93
S21.G00.06.013,26-04-1975
S21.G00.06.014,31-12-1993
S21.G00.11.001,65
S21.G00.11.002,G0-4848965A
S21.G00.11.003,"4, avenue de Goncalves
80812 Guillaume"
S21.G00.11.004,18682
S21.G00.11.005,Gonzalez
S21.G00.11.007,Zone chemin Marcelle Simon
S21.G00.11.008,92
S21.G00.15.001,2150758
S21.G00.15.002,U8-4062552Q
S21.G00.15.004,85
S21.G00.15.005,343
S21.G00.15.001,02/333-9085-2
S21.G00.15.002,PLQkJf
S21.G00.15.004,92
S21.G00.15.005,752
S21.G00.15.001,436831
S21.G00.15.002,I6-0635068p
S21.G00.15.004,69
S21.G00.15.005,10322
S21.G00.15.001,89/499-1581-6
S21.G00.15.002,PYKVAs
S21.G00.15.004,8
S21.G00.15.005,807
S21.G00.20.001,849579798
S21.G00.20.002,5.17D+22
S21.G00.20.003,********************
S21.G00.20.004,FRW0-2776943f
S21.G00.20.005,5599.4
S21.G00.20.006,05-07-1976
S21.G00.20.007,30-10-1988
S21.G00.30.005,F
S21.G00.30.006,11-08-1968
S10.G00.00.001,FACTICE_log_paie
S10.G00.00.002,FACTICE_EDITEUR
S10.G00.00.003,********************
S10.G00.00.004,8
S10.G00.00.005,85
S10.G00.00.006,P05V08
S10.G00.00.007,92
S10.G00.00.008,58
S10.G00.01.001,2732322873
S10.G00.01.002,735211
S10.G00.01.003,FACTICE_Audit
S10.G00.01.004,"73, avenue François Guibert
11207 Normand"
S10.G00.01.005,80786
S10.G00.01.006,Ville Lemonnierdan
S10.G00.02.001,54
S10.G00.02.002,FACTICE_AUDIT
S10.G00.02.004,Vincent_Maillet_de_Chartier@factice_audit.fr
S10.G00.02.005,0645794322
S20.G00.05.001,62
S20.G00.05.002,6
S20.G00.05.003,16
S20.G00.05.004,6
S20.G00.05.005,21-02-1987
S20.G00.05.007,12-11-1978
S20.G00.05.008,4
S20.G00.05.010,2
S21.G00.06.001,13622246
S21.G00.06.002,104
S21.G00.06.003,90782EtemTDMVjFkZ
S21.G00.06.004,"956, boulevard Benoît Loiseau
35555 Gros"
S21.G00.06.005,87350
S21.G00.06.006,Sauvage
S21.G00.06.007,Zone rue Herve
S21.G00.06.009,60
S21.G00.06.013,30-10-1986
S21.G00.06.014,27-03-2001
S21.G00.11.001,59
S21.G00.11.002,m1-6713962i
S21.G00.11.003,"boulevard Gabriel Parent
43598 Da Silva"
S21.G00.11.004,46014
S21.G00.11.005,Meyer-la-Forêt
S21.G00.11.007,Zone avenue Bonnet
S21.G00.11.008,76
S21.G00.15.001,3749526
S21.G00.15.002,a9-7143756H
S21.G00.15.004,83
S21.G00.15.005,736
S21.G00.15.001,15/579-8020-2
S21.G00.15.002,PuHlht
S21.G00.15.004,35
S21.G00.15.005,727
S21.G00.15.001,509719
S21.G00.15.002,X8-6185070E
S21.G00.15.004,74
S21.G00.15.005,26194
S21.G00.15.001,28/696-5422-5
S21.G00.15.002,PWpfGU
S21.G00.15.004,7
S21.G00.15.005,346
S21.G00.20.001,190510800
S21.G00.20.002,1.93G+29
S21.G00.20.003,********************
S21.G00.20.004,FRJ8-4607468Y
S21.G00.20.005,3793.91
S21.G00.20.006,02-02-1981
S21.G00.20.007,11-07-1977
S21.G00.30.005,F
S21.G00.30.006,06-02-1975
S10.G00.00.001,FACTICE_log_paie
S10.G00.00.002,FACTICE_EDITEUR
S10.G00.00.003,********************
S10.G00.00.004,4
S10.G00.00.005,2
S10.G00.00.006,P05V00
S10.G00.00.007,1
S10.G00.00.008,17
S10.G00.01.001,7415854902
S10.G00.01.002,254433
S10.G00.01.003,FACTICE_Audit
S10.G00.01.004,"99, rue Durand
79893 Lejeune"
S10.G00.01.005,71383
S10.G00.01.006,Ville SeguinVille
S10.G00.02.001,53
S10.G00.02.002,FACTICE_AUDIT
S10.G00.02.004,Astrid_Laurent@factice_audit.fr
S10.G00.02.005,0667911330
S20.G00.05.001,98
S20.G00.05.002,81
S20.G00.05.003,31
S20.G00.05.004,3
S20.G00.05.005,11-04-2018
S20.G00.05.007,22-01-1998
S20.G00.05.008,10
S20.G00.05.010,8
S21.G00.06.001,81616936
S21.G00.06.002,774
S21.G00.06.003,16838lvmbgHnhZwQE
S21.G00.06.004,"4, chemin Benoit
75597 Germain"
S21.G00.06.005,96198
S21.G00.06.006,Turpin
S21.G00.06.007,Zone chemin Paul Ribeiro
S21.G00.06.009,84
S21.G00.06.013,28-06-2006
S21.G00.06.014,04-04-1988
S21.G00.11.001,38
S21.G00.11.002,u9-1116877y
S21.G00.11.003,"67, rue de Barbier
65030 Sainte JulesVille"
S21.G00.11.004,42041
S21.G00.11.005,Auger-sur-Mer
S21.G00.11.007,Zone avenue Raynaud
S21.G00.11.008,83
S21.G00.15.001,9223459
S21.G00.15.002,y7-8613299l
S21.G00.15.004,58
S21.G00.15.005,461
S21.G00.15.001,08/931-6915-6
S21.G00.15.002,PlgMCo
S21.G00.15.004,74
S21.G00.15.005,570
S21.G00.15.001,258516
S21.G00.15.002,y5-0715400z
S21.G00.15.004,69
S21.G00.15.005,85023
S21.G00.15.001,82/373-6362-9
S21.G00.15.002,PRBfan
S21.G00.15.004,0
S21.G00.15.005,618
S21.G00.20.001,746325848
S21.G00.20.002,3.2R+16
S21.G00.20.003,********************
S21.G00.20.004,FRy6-641769x
S21.G00.20.005,7368.48
S21.G00.20.006,01-10-2009
S21.G00.20.007,30-11-2008
S21.G00.30.005,F
S21.G00.30.006,29-12-1979
S10.G00.00.001,FACTICE_log_paie
S10.G00.00.002,FACTICE_EDITEUR
S10.G00.00.003,********************
S10.G00.00.004,1
S10.G00.00.005,13
S10.G00.00.006,P03V06
S10.G00.00.007,0
S10.G00.00.008,13
S10.G00.01.001,5245040294
S10.G00.01.002,663985
S10.G00.01.003,FACTICE_Audit
S10.G00.01.004,"148, rue de Labbe
74478 Vallee"
S10.G00.01.005,76083
S10.G00.01.006,Ville Sainte Susanne
S10.G00.02.001,49
S10.G00.02.002,FACTICE_AUDIT
S10.G00.02.004,Laure_Maury_de_Paul@factice_audit.fr
S10.G00.02.005,0680079947
S20.G00.05.001,52
S20.G00.05.002,97
S20.G00.05.003,61
S20.G00.05.004,9
S20.G00.05.005,24-10-2013
S20.G00.05.007,18-05-1984
S20.G00.05.008,9
S20.G00.05.010,2
S21.G00.06.001,71725165
S21.G00.06.002,226
S21.G00.06.003,12221UUjhkcPKExGb
S21.G00.06.004,"22, avenue de Charrier
44142 Gosselin"
S21.G00.06.005,14677
S21.G00.06.006,Besnard-les-Bains
S21.G00.06.007,Zone rue de Michel
S21.G00.06.009,51
S21.G00.06.013,21-05-1991
S21.G00.06.014,07-06-1994
S21.G00.11.001,69
S21.G00.11.002,X3-3789600c
S21.G00.11.003,"80, rue Bourdon
28022 Faivre"
S21.G00.11.004,18621
S21.G00.11.005,Saint Philippe
S21.G00.11.007,Zone chemin Petit
S21.G00.11.008,20
S21.G00.15.001,2035525
S21.G00.15.002,v7-6134919c
S21.G00.15.004,40
S21.G00.15.005,755
S21.G00.15.001,92/828-4935-6
S21.G00.15.002,PVYWcZ
S21.G00.15.004,19
S21.G00.15.005,236
S21.G00.15.001,569969
S21.G00.15.002,S5-3544860Z
S21.G00.15.004,28
S21.G00.15.005,62036
S21.G00.15.001,56/485-8253-3
S21.G00.15.002,PhLVMf
S21.G00.15.004,0
S21.G00.15.005,104
S21.G00.20.001,816933230
S21.G00.20.002,0.53H+30
S21.G00.20.003,********************
S21.G00.20.004,FRx3-9306872v
S21.G00.20.005,9100.61
S21.G00.20.006,27-05-1979
S21.G00.20.007,25-10-1985
S21.G00.30.005,F
S21.G00.30.006,03-06-1976
S10.G00.00.001,FACTICE_log_paie
S10.G00.00.002,FACTICE_EDITEUR
S10.G00.00.003,********************
S10.G00.00.004,2
S10.G00.00.005,9
S10.G00.00.006,P00V05
S10.G00.00.007,39
S10.G00.00.008,36
S10.G00.01.001,9733335245
S10.G00.01.002,779360
S10.G00.01.003,FACTICE_Audit
S10.G00.01.004,"23, boulevard Thérèse Renault
71638 Vallee-sur-Mer"
S10.G00.01.005,63152
S10.G00.01.006,Ville Blanc
S10.G00.02.001,60
S10.G00.02.002,FACTICE_AUDIT
S10.G00.02.004,William_Hubert@factice_audit.fr
S10.G00.02.005,0662146780
S20.G00.05.001,24
S20.G00.05.002,50
S20.G00.05.003,4
S20.G00.05.004,8
S20.G00.05.005,13-12-1999
S20.G00.05.007,27-11-1996
S20.G00.05.008,6
S20.G00.05.010,8
S21.G00.06.001,65947727
S21.G00.06.002,223
S21.G00.06.003,20150msHPeiVJAcor
S21.G00.06.004,"boulevard Cécile Bousquet
07853 Auger"
S21.G00.06.005,33366
S21.G00.06.006,Bernier-sur-Le Gall
S21.G00.06.007,Zone rue de Vaillant
S21.G00.06.009,56
S21.G00.06.013,14-06-2019
S21.G00.06.014,26-02-1990
S21.G00.11.001,23
S21.G00.11.002,Y7-3853686W
S21.G00.11.003,"rue Durand
09110 Saint Brigitte"
S21.G00.11.004,02895
S21.G00.11.005,Thibault
S21.G00.11.007,Zone chemin Franck Bouchet
S21.G00.11.008,29
S21.G00.15.001,5612472
S21.G00.15.002,p6-9589446g
S21.G00.15.004,6
S21.G00.15.005,961
S21.G00.15.001,23/599-7289-6
S21.G00.15.002,PGqKhb
S21.G00.15.004,53
S21.G00.15.005,180
S21.G00.15.001,265887
S21.G00.15.002,t6-6811865w
S21.G00.15.004,1
S21.G00.15.005,49042
S21.G00.15.001,15/308-4914-5
S21.G00.15.002,PZLANf
S21.G00.15.004,3
S21.G00.15.005,831
S21.G00.20.001,286530701
S21.G00.20.002,2.5q+23
S21.G00.20.003,********************
S21.G00.20.004,FRm8-8249821P
S21.G00.20.005,4668.87
S21.G00.20.006,03-07-1985
S21.G00.20.007,21-10-1999
S21.G00.30.005,H
S21.G00.30.006,23-07-1985
S10.G00.00.001,FACTICE_log_paie
S10.G00.00.002,FACTICE_EDITEUR
S10.G00.00.003,********************
S10.G00.00.004,1
S10.G00.00.005,17
S10.G00.00.006,P01V04
S10.G00.00.007,99
S10.G00.00.008,29
S10.G00.01.001,3026185783
S10.G00.01.002,398612
S10.G00.01.003,FACTICE_Audit
S10.G00.01.004,"avenue de Guillaume
92434 Saint Joseph"
S10.G00.01.005,97321
S10.G00.01.006,Ville Maillet
S10.G00.02.001,37
S10.G00.02.002,FACTICE_AUDIT
S10.G00.02.004,Thierry_Le_Lagarde@factice_audit.fr
S10.G00.02.005,0668171881
S20.G00.05.001,20
S20.G00.05.002,87
S20.G00.05.003,14
S20.G00.05.004,1
S20.G00.05.005,06-11-2002
S20.G00.05.007,02-11-2001
S20.G00.05.008,5
S20.G00.05.010,0
S21.G00.06.001,18097690
S21.G00.06.002,668
S21.G00.06.003,52993zKOFRiiYGsrL
S21.G00.06.004,"232, boulevard Lucie Guillou
41190 Dumont"
S21.G00.06.005,55277
S21.G00.06.006,Tanguy-la-Forêt
S21.G00.06.007,Zone avenue Gilles Martin
S21.G00.06.009,18
S21.G00.06.013,18-05-2014
S21.G00.06.014,28-10-2016
S21.G00.11.001,19
S21.G00.11.002,D3-2937062W
S21.G00.11.003,"6, boulevard de Marques
80216 Parisnec"
S21.G00.11.004,36190
S21.G00.11.005,Pages
S21.G00.11.007,Zone chemin de Denis
S21.G00.11.008,49
S21.G00.15.001,6728729
S21.G00.15.002,f8-5381935X
S21.G00.15.004,19
S21.G00.15.005,268
S21.G00.15.001,55/253-8068-8
S21.G00.15.002,PcbYjL
S21.G00.15.004,47
S21.G00.15.005,874
S21.G00.15.001,402614
S21.G00.15.002,J7-2714824M
S21.G00.15.004,9
S21.G00.15.005,66932
S21.G00.15.001,88/714-5828-8
S21.G00.15.002,PLxSiY
S21.G00.15.004,2
S21.G00.15.005,271
S21.G00.20.001,315362320
S21.G00.20.002,7.7G+51
S21.G00.20.003,********************
S21.G00.20.004,FRe3-923732i
S21.G00.20.005,9712.33
S21.G00.20.006,14-12-1990
S21.G00.20.007,06-05-2008
S21.G00.30.005,F
S21.G00.30.006,09-05-1991
S10.G00.00.001,FACTICE_log_paie
S10.G00.00.002,FACTICE_EDITEUR
S10.G00.00.003,********************
S10.G00.00.004,6
S10.G00.00.005,55
S10.G00.00.006,P09V06
S10.G00.00.007,11
S10.G00.00.008,8
S10.G00.01.001,5661750208
S10.G00.01.002,369534
S10.G00.01.003,FACTICE_Audit
S10.G00.01.004,"19, rue Ramos
52701 Roussel"
S10.G00.01.005,65305
S10.G00.01.006,Ville Laporte
S10.G00.02.001,6
S10.G00.02.002,FACTICE_AUDIT
S10.G00.02.004,Céline_Nguyen@factice_audit.fr
S10.G00.02.005,0677604803
S20.G00.05.001,33
S20.G00.05.002,0
S20.G00.05.003,59
S20.G00.05.004,0
S20.G00.05.005,25-08-1989
S20.G00.05.007,04-04-2003
S20.G00.05.008,7
S20.G00.05.010,4
S21.G00.06.001,77494800
S21.G00.06.002,719
S21.G00.06.003,32730eLCZYvevhkrY
S21.G00.06.004,"4, chemin de Le Roux
71654 Germain"
S21.G00.06.005,24228
S21.G00.06.006,Perrin
S21.G00.06.007,Zone boulevard de Colin
S21.G00.06.009,54
S21.G00.06.013,18-05-1994
S21.G00.06.014,17-02-1993
S21.G00.11.001,85
S21.G00.11.002,e6-3319721z
S21.G00.11.003,"589, rue Joly
46320 Letellier"
S21.G00.11.004,74113
S21.G00.11.005,Delattre
S21.G00.11.007,Zone rue de Dufour
S21.G00.11.008,57
S21.G00.15.001,9054058
S21.G00.15.002,k7-7005009H
S21.G00.15.004,0
S21.G00.15.005,150
S21.G00.15.001,17/186-9429-9
S21.G00.15.002,PNwmHW
S21.G00.15.004,68
S21.G00.15.005,823
S21.G00.15.001,328593
S21.G00.15.002,E7-661662M
S21.G00.15.004,89
S21.G00.15.005,87093
S21.G00.15.001,76/259-4079-4
S21.G00.15.002,PDtUmh
S21.G00.15.004,9
S21.G00.15.005,447
S21.G00.20.001,269035586
S21.G00.20.002,5.7O+85
S21.G00.20.003,********************
S21.G00.20.004,FRW1-9713093s
S21.G00.20.005,5977.25
S21.G00.20.006,29-10-2006
S21.G00.20.007,28-02-2012
S21.G00.30.005,F
S21.G00.30.006,03-12-1961
S10.G00.00.001,FACTICE_log_paie
S10.G00.00.002,FACTICE_EDITEUR
S10.G00.00.003,********************
S10.G00.00.004,8
S10.G00.00.005,77
S10.G00.00.006,P07V08
S10.G00.00.007,92
S10.G00.00.008,73
S10.G00.01.001,9311466536
S10.G00.01.002,795770
S10.G00.01.003,FACTICE_Audit
S10.G00.01.004,"50, avenue Martine Begue
91368 Sainte Joseph"
S10.G00.01.005,89522
S10.G00.01.006,Ville Meyernec
S10.G00.02.001,36
S10.G00.02.002,FACTICE_AUDIT
S10.G00.02.004,Antoine_du_Lefevre@factice_audit.fr
S10.G00.02.005,0672258081
S20.G00.05.001,46
S20.G00.05.002,86
S20.G00.05.003,33
S20.G00.05.004,4
S20.G00.05.005,06-05-1990
S20.G00.05.007,21-01-1983
S20.G00.05.008,6
S20.G00.05.010,1
S21.G00.06.001,97353560
S21.G00.06.002,803
S21.G00.06.003,98196eCZqSkwhfyOv
S21.G00.06.004,"3, rue Antoinette Weber
35151 Sainte ChantalVille"
S21.G00.06.005,45745
S21.G00.06.006,Sainte Manon
S21.G00.06.007,Zone boulevard de Gaudin
S21.G00.06.009,73
S21.G00.06.013,21-04-1999
S21.G00.06.014,26-12-1978
S21.G00.11.001,53
S21.G00.11.002,w6-5049675P
S21.G00.11.003,"chemin de Leleu
11953 Saint Pierredan"
S21.G00.11.004,57625
S21.G00.11.005,Brunel
S21.G00.11.007,Zone rue Simone Renaud
S21.G00.11.008,47
S21.G00.15.001,5173534
S21.G00.15.002,a8-2653369M
